epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,545.337,1.98312,0.93017,0.00407,0.83409,0.77344,0.82413,0.36516,2.04684,0.79686,0.00384,0.000828443,0.000828443,0.000828443
43,759.876,1.9608,0.89157,0.00408,0.82019,0.74462,0.78609,0.34267,2.08035,0.85417,0.00401,0.000820525,0.000820525,0.000820525
44,974.159,1.95163,0.92705,0.00395,0.84752,0.75252,0.82108,0.36719,2.03142,0.81237,0.00378,0.000812468,0.000812468,0.000812468
45,1189.09,1.94534,0.89678,0.00381,0.83493,0.77231,0.82647,0.37589,2.03475,0.80574,0.00381,0.000804277,0.000804277,0.000804277
46,1405.99,1.96452,0.91299,0.00389,0.8517,0.77231,0.81682,0.37901,2.01625,0.80069,0.00376,0.000795954,0.000795954,0.000795954
47,1620.99,1.90638,0.84749,0.00391,0.81323,0.8,0.83792,0.37439,2.00743,0.83495,0.0038,0.000787503,0.000787503,0.000787503
48,1835.28,1.9063,0.8559,0.00381,0.84909,0.77846,0.84424,0.38745,1.98442,0.79928,0.00364,0.000778929,0.000778929,0.000778929
49,2085.71,1.91516,0.84326,0.00384,0.80172,0.78381,0.81487,0.36929,2.01965,0.80303,0.00378,0.000770234,0.000770234,0.000770234
50,2307.03,1.87317,0.83086,0.00361,0.81483,0.76615,0.82706,0.37638,1.98383,0.79281,0.00363,0.000761423,0.000761423,0.000761423
51,2529.4,1.8493,0.8205,0.0036,0.81295,0.79077,0.8421,0.37018,2.02078,0.78912,0.00381,0.0007525,0.0007525,0.0007525
52,2751.04,1.83746,0.81639,0.00361,0.76947,0.78056,0.80341,0.36158,2.0562,0.8003,0.00388,0.000743468,0.000743468,0.000743468
53,2976.71,1.86648,0.80358,0.0037,0.8312,0.77846,0.82898,0.3759,2.00526,0.76472,0.00374,0.000734332,0.000734332,0.000734332
54,3207.62,1.89655,0.83656,0.00375,0.80774,0.83077,0.83909,0.38834,2.00162,0.77041,0.0037,0.000725094,0.000725094,0.000725094
55,3450.68,1.87351,0.81635,0.00369,0.83064,0.78769,0.81732,0.38461,2.0239,0.72871,0.00373,0.000715761,0.000715761,0.000715761
56,3666.79,1.86309,0.81577,0.00369,0.8537,0.80799,0.85326,0.39412,1.98411,0.74196,0.00365,0.000706335,0.000706335,0.000706335
57,3891.12,1.86212,0.8027,0.00369,0.82135,0.78462,0.82935,0.37278,2.01766,0.77106,0.00379,0.00069682,0.00069682,0.00069682
58,4108.18,1.88352,0.80377,0.00363,0.80658,0.80615,0.82595,0.39284,1.98399,0.74364,0.0037,0.000687222,0.000687222,0.000687222
59,293.881,1.7846,0.77582,0.00342,0.84459,0.78462,0.82416,0.40235,1.90028,0.75458,0.00356,0.000677543,0.000677543,0.000677543
60,509.508,1.76822,0.75803,0.00345,0.84362,0.78016,0.81753,0.38927,1.92834,0.77531,0.00357,0.000667789,0.000667789,0.000667789
61,702.654,1.75014,0.74851,0.00344,0.81469,0.77231,0.80521,0.38827,1.96845,0.75304,0.00371,0.000657963,0.000657963,0.000657963
62,900.823,1.74442,0.74598,0.00339,0.86302,0.80615,0.84887,0.41215,1.90257,0.71888,0.00352,0.000648071,0.000648071,0.000648071
63,1123.42,1.72229,0.75202,0.00322,0.85862,0.8035,0.84873,0.41685,1.90192,0.71056,0.00345,0.000638115,0.000638115,0.000638115
64,1351.62,1.74096,0.74606,0.00331,0.85318,0.80923,0.84939,0.41629,1.914,0.70394,0.00346,0.000628101,0.000628101,0.000628101
65,1545.6,1.68885,0.70411,0.00331,0.85306,0.80308,0.84949,0.41591,1.92002,0.71136,0.00347,0.000618034,0.000618034,0.000618034
66,1737.52,1.69895,0.7078,0.00325,0.81719,0.81846,0.83965,0.42756,1.85625,0.70418,0.00337,0.000607916,0.000607916,0.000607916
67,1959.56,1.68478,0.70445,0.00322,0.85892,0.82426,0.86006,0.43043,1.89358,0.69481,0.00339,0.000597754,0.000597754,0.000597754
68,2174.46,1.66415,0.68322,0.00306,0.85167,0.81269,0.86805,0.42724,1.89195,0.69805,0.00338,0.000587551,0.000587551,0.000587551
69,2373.76,1.61803,0.67344,0.00299,0.86847,0.81846,0.85798,0.44065,1.8382,0.67129,0.00332,0.000577311,0.000577311,0.000577311
70,2598.56,1.62439,0.65788,0.00305,0.85222,0.82462,0.84907,0.43953,1.82997,0.65965,0.00327,0.00056704,0.00056704,0.00056704
71,2790.63,1.63324,0.65909,0.00307,0.84526,0.80676,0.85005,0.42479,1.88751,0.69607,0.00338,0.000556742,0.000556742,0.000556742
72,2984.74,1.65859,0.67169,0.00312,0.87763,0.81231,0.87351,0.43993,1.8435,0.64412,0.00334,0.000546421,0.000546421,0.000546421
73,3176.8,1.64556,0.67686,0.00309,0.8455,0.80615,0.84622,0.43519,1.82396,0.65571,0.00328,0.000536081,0.000536081,0.000536081
74,3372.89,1.62669,0.67141,0.00306,0.84013,0.83692,0.85482,0.42474,1.86459,0.66859,0.00339,0.000525728,0.000525728,0.000525728
75,3572.14,1.62753,0.65822,0.00305,0.81976,0.81169,0.8314,0.43049,1.8235,0.67576,0.00328,0.000515366,0.000515366,0.000515366
76,3777.35,1.63683,0.65098,0.00302,0.85291,0.79692,0.85811,0.43944,1.82994,0.65724,0.00324,0.000505,0.000505,0.000505
77,3982.31,1.65491,0.66666,0.00305,0.86246,0.82154,0.86157,0.45224,1.78434,0.6327,0.00316,0.000494634,0.000494634,0.000494634
